| Hex| Dec | Original Mnemonic   | ttydasm Mnemonic       | Summary
| C9 | 201 |                     |                        | unused
| CA | 202 |                     |                        | unused
| CB | 203 |                     |                        | unused
| CC | 204 |                     |                        | unused
| CD | 205 |                     |                        | unused
| CE | 206 |                     |                        | unused
| CF | 207 |                     |                        | unused
| D0 | 208 |                     |                        | unused
| D1 | 209 |                     |                        | unused
| D2 | 210 |                     |                        | unused
| D3 | 211 |                     |                        | unused
| D4 | 212 |                     |                        | unused
| D5 | 213 |                     |                        | unused
| D6 | 214 |                     |                        | unused
| D7 | 215 |                     |                        | unused
| D8 | 216 |                     |                        | unused
| D9 | 217 |                     |                        | unused
| DA | 218 |                     |                        | unused
| DB | 219 |                     |                        | unused
| DC | 220 |                     |                        | unused
| DD | 221 |                     |                        | unused
| DE | 222 |                     |                        | unused
| DF | 223 |                     |                        | unused
| E0 | 224 |                     |                        | unused
| E1 | 225 |                     |                        | unused
| E2 | 226 |                     |                        | unused
| E3 | 227 |                     |                        | unused
| E4 | 228 |                     |                        | unused
| E5 | 229 |                     |                        | unused
| E6 | 230 |                     |                        | unused
| E7 | 231 |                     |                        | unused
| E8 | 232 |                     |                        | unused
| E9 | 233 |                     |                        | unused
| EA | 234 |                     |                        | unused
| EB | 235 |                     |                        | unused
| EC | 236 |                     |                        | unused
| ED | 237 |                     |                        | unused
| EE | 238 |                     |                        | unused
| EF | 239 |                     |                        | unused
| F0 | 240 |                     |                        | unused
| F1 | 241 |                     |                        | unused
| F2 | 242 |                     |                        | unused
| F3 | 243 |                     |                        | unused
| F4 | 244 |                     |                        | unused
| F5 | 245 |                     |                        | unused
| F6 | 246 |                     |                        | unused
| F7 | 247 |                     |                        | unused
| F8 | 248 |                     |                        | unused
| F9 | 249 |                     |                        | unused
| FA | 250 |                     |                        | unused
| FB | 251 |                     |                        | unused
| FC | 252 |                     |                        | unused
| FD | 253 |                     |                        | unused
| FE | 254 |                     |                        | unused
| FF | 255 |                     |                        | unused
